128,50,114.757374,0.410650
128,100,78.999537,0.659100
128,120,72.748801,0.712050
128,170,61.908124,0.784230
128,200,57.076049,0.808670
128,500,40.631262,0.873420
512,50,109.428023,0.415060
512,100,76.402114,0.676920
512,120,69.348330,0.732940
512,170,58.776373,0.805770
512,200,54.198662,0.828320
512,500,39.053879,0.884230
1024,50,109.810503,0.417180
1024,100,74.530282,0.684780
1024,120,69.433133,0.741650
1024,170,58.209203,0.813270
1024,200,53.560536,0.834240
1024,500,37.952669,0.886890
2048,50,110.123632,0.420900
2048,100,74.188209,0.693810
2048,120,67.647524,0.749770
2048,170,56.989851,0.819570
2048,200,52.776980,0.841240
2048,500,37.340137,0.887770
4096,50,111.739472,0.426360
4096,100,76.862876,0.702400
4096,120,67.594477,0.758900
4096,170,56.577957,0.826570
4096,200,52.136146,0.847100
4096,500,36.811587,0.889010
8192,50,116.376122,0.429840
8192,100,76.970070,0.711800
8192,120,69.549503,0.767410
8192,170,57.786209,0.833010
8192,200,54.146091,0.851940
8192,500,36.754924,0.889620
16384,50,115.100534,0.436090
16384,100,78.915885,0.720830
16384,120,70.779909,0.776060
16384,170,59.626978,0.840100
16384,200,54.225927,0.857600
16384,500,37.000349,0.890480
