glove-100,1,1024,5000,1867.522148,0.852485
glove-100,2,1024,5000,2097.227724,0.852506
glove-100,3,1024,5000,2209.158372,0.852502
glove-100,4,1024,5000,2249.952365,0.852503
glove-100,5,1024,5000,2245.438073,0.852505
glove-100,6,1024,5000,2245.214298,0.852505
glove-100,7,1024,5000,2242.316711,0.852505
glove-100,8,1024,5000,2247.632942,0.852505
glove-100,10,1024,5000,2260.098818,0.852505
glove-100,15,1024,5000,2253.312288,0.852505
glove-100,20,1024,5000,2236.084793,0.852505
glove-100,30,1024,5000,2232.896652,0.852505
glove-100,50,1024,5000,2230.778103,0.852505
sift,1,1024,500,2706.408907,0.963967
sift,2,1024,500,3297.974915,0.963982
sift,3,1024,500,3732.714289,0.963999
sift,4,1024,500,4076.000623,0.963998
sift,5,1024,500,4361.191394,0.963994
sift,6,1024,500,4557.858228,0.963996
sift,7,1024,500,4744.15934,0.963994
sift,8,1024,500,4808.117093,0.963996
sift,9,1024,500,4894.867229,0.963992
sift,10,1024,500,4896.203085,0.963993
sift,12,1024,500,4663.672396,0.963996
sift,16,1024,500,4780.014966,0.963996
sift,18,1024,500,4961.227065,0.963996
sift,20,1024,500,4935.608687,0.963996
sift,25,1024,500,4535.826674,0.963996
sift,30,1024,500,4551.623027,0.963996
sift,40,1024,500,4879.054646,0.963996
sift,50,1024,500,4934.466839,0.963996
sift,60,1024,500,4917.622631,0.963996
sift,80,1024,500,4863.001409,0.963996
sift,100,1024,500,4636.626094,0.963996
gist,1,1024,8000,381.206481,0.978
gist,2,1024,8000,263.987932,0.97798
gist,3,1024,8000,327.591284,0.97798
gist,4,1024,8000,332.983654,0.97797
gist,5,1024,8000,343.438522,0.97799
gist,6,1024,8000,319.234047,0.97799
gist,7,1024,8000,335.393489,0.97799
gist,8,1024,8000,328.797366,0.97799
gist,9,1024,8000,325.681895,0.97799
gist,10,1024,8000,327.637608,0.97799
gist,12,1024,8000,327.610175,0.97799
gist,14,1024,8000,380.133906,0.97799
gist,16,1024,8000,335.987683,0.97799
gist,20,1024,8000,317.822168,0.97799
gist,25,1024,8000,317.381951,0.97799
gist,30,1024,8000,344.210857,0.97799
gist,40,1024,8000,349.354619,0.97799
gist,50,1024,8000,342.601214,0.97799
gist,70,1024,8000,337.006818,0.97799
gist,100,1024,8000,345.721894,0.97799
crawl,1,2048,4000,467.427145,0.944036
crawl,2,2048,4000,568.034787,0.944042
crawl,3,2048,4000,625.873311,0.944039
crawl,4,2048,4000,685.993485,0.944033
crawl,5,2048,4000,709.214485,0.944035
crawl,6,2048,4000,744.7336,0.944035
crawl,7,2048,4000,714.358573,0.944035
crawl,8,2048,4000,703.628848,0.944035
crawl,9,2048,4000,747.352975,0.944035
crawl,10,2048,4000,773.378123,0.944035
crawl,12,2048,4000,720.286548,0.944035
crawl,14,2048,4000,746.410547,0.944035
crawl,16,2048,4000,779.980401,0.944035
crawl,20,2048,4000,723.282333,0.944035
crawl,25,2048,4000,744.752543,0.944035
crawl,30,2048,4000,730.199814,0.944035
crawl,40,2048,4000,767.871411,0.944035
crawl,50,2048,4000,760.385258,0.944035
crawl,70,2048,4000,770.640839,0.944035
crawl,100,2048,4000,774.476111,0.944035
msong,1,1024,200,2611.319779,0.93125
msong,2,1024,200,3085.065704,0.9311
msong,3,1024,200,3216.147582,0.9313
msong,4,1024,200,3852.166856,0.9312
msong,5,1024,200,4026.452423,0.9313
msong,6,1024,200,4240.071491,0.93145
msong,7,1024,200,4204.319766,0.9314
msong,8,1024,200,3598.802153,0.9314
msong,9,1024,200,4108.614765,0.9314
msong,10,1024,200,4431.463212,0.93135
msong,12,1024,200,4368.901191,0.9314
msong,14,1024,200,4009.315082,0.9314
msong,16,1024,200,3821.95762,0.9314
msong,20,1024,200,3618.525752,0.9314
msong,25,1024,200,4302.72224,0.9314
msong,30,1024,200,4598.567372,0.9314
msong,40,1024,200,3844.584664,0.9314
msong,50,1024,200,4566.055655,0.9314
msong,70,1024,200,4484.216354,0.9314
msong,100,1024,200,4713.523029,0.9314
audio,1,256,200,18532.85059,0.5339
audio,2,256,200,17897.05329,0.53585
audio,3,256,200,20992.01107,0.5365
audio,4,256,200,18808.3765,0.5377
audio,5,256,200,20076.87637,0.5381
audio,6,256,200,20332.99343,0.5381
audio,7,256,200,19228.82046,0.5381
audio,8,256,200,20405.35232,0.5381
audio,9,256,200,20495.28706,0.5381
audio,10,256,200,20235.52328,0.5381
audio,12,256,200,20384.36764,0.5381
audio,14,256,200,17243.44704,0.5381
audio,16,256,200,20097.96148,0.5381
audio,20,256,200,19399.38533,0.5381
audio,25,256,200,19325.2698,0.5381
audio,30,256,200,17535.4288,0.5381
audio,40,256,200,19853.82226,0.5381
audio,50,256,200,19012.7587,0.5381
audio,70,256,200,20103.7373,0.5381
audio,100,256,200,20179.90588,0.5381
