128,0,43442.373691,0.000000
128,50,29.115922,0.002120
128,100,29.362074,0.002120
128,120,29.114920,0.002120
128,170,29.115369,0.002120
128,200,29.043466,0.002120
128,500,29.720326,0.002120
512,0,12247.547429,0.000000
512,50,27.615689,0.002120
512,100,27.687263,0.002120
512,120,27.692898,0.002120
512,170,27.721475,0.002120
512,200,27.656379,0.002120
512,500,28.009264,0.002120
1024,0,5789.047123,0.000000
1024,50,27.772869,0.002110
1024,100,27.693965,0.002110
1024,120,27.540370,0.002110
1024,170,27.932535,0.002110
1024,200,27.653411,0.002110
1024,500,27.269420,0.002110
2048,0,3262.610806,0.000000
2048,50,27.521790,0.002120
2048,100,27.555652,0.002120
2048,120,27.436214,0.002120
