128,200,1825.967078,0.381400
128,500,1706.813771,0.415580
128,1000,998.767521,0.543990
128,2000,609.108363,0.694200
128,3000,405.279166,0.778090
128,5000,268.428416,0.865620
512,200,3382.114701,0.323820
512,500,1925.595009,0.484130
512,1000,1176.215972,0.637520
512,2000,613.797053,0.785330
512,3000,446.022770,0.854210
512,5000,255.722625,0.914650
1024,200,2922.054204,0.340390
1024,500,1853.822396,0.526270
1024,1000,1072.633369,0.680030
1024,2000,626.840168,0.820360
1024,3000,411.857543,0.880300
1024,5000,266.844136,0.928670
2048,200,2193.011312,0.366630
2048,500,1432.482105,0.567710
2048,1000,979.414663,0.723200
2048,2000,546.520957,0.847730
2048,3000,406.469036,0.898910
2048,5000,239.822531,0.938310
